1313, 16777215
1314, 0
1315, 16777215
1316, 16777215
1317, 0
1318, 0
1319, 1327
1320, 1336
1321, 1489
1322, 1498
1323, 4027
1324, 4036
1325, 4171
1326, 4180
1327, 0
1328, 16777215
1329, 0
1330, 0
1331, 16777215
1332, 0
1333, 16777215
1334, 16777215
1335, 0
1336, 0
1337, 16777215
1338, 0
1339, 0
1340, 16777215
1341, 0
1342, 16777215
1343, 16777215
1344, 0
1345, 0
1346, 1354
1347, 1363
1348, 1507
1349, 1516
1350, 4045
1351, 4054
1352, 4189
1353, 4198
1354, 0
1355, 16777215
1356, 0
1357, 0
1358, 16777215
1359, 0
1360, 16777215
1361, 16777215
1362, 0
1363, 0
1364, 16777215
1365, 0
1366, 0
1367, 16777215
1368, 0
1369, 16777215
1370, 16777215
1371, 0
1372, 0
1373, 1381
1374, 1390
1375, 1525
1376, 1534
1377, 4063
1378, 4072
1379, 4207
1380, 4216
1381, 0
1382, 16777215
1383, 0
1384, 0
1385, 16777215
1386, 0
1387, 16777215
1388, 16777215
1389, 0
1390, 0
1391, 16777215
1392, 0
1393, 0
1394, 16777215
1395, 0
1396, 16777215
1397, 16777215
1398, 0
1399, 0
1400, 16777215
1401, 0
1402, 0
1403, 16777215
1404, 0
1405, 16777215
1406, 16777215
1407, 0
1408, 0
1409, 16777215
1410, 0
1411, 0
1412, 16777215
1413, 0
1414, 16777215
1415, 16777215
1416, 0
1417, 0
1418, 16777215
1419, 0
1420, 0
1421, 16777215
1422, 0
1423, 16777215
1424, 16777215
1425, 0
1426, 0
1427, 16777215
1428, 0
1429, 0
1430, 16777215
1431, 0
1432, 16777215
1433, 16777215
1434, 0
1435, 0
1436, 16777215
1437, 0
1438, 0
1439, 16777215
1440, 0
1441, 16777215
1442, 16777215
1443, 0
1444, 0
1445, 16777215
1446, 0
1447, 0
1448, 16777215
1449, 0
1450, 16777215
1451, 16777215
1452, 0
1453, 0
1454, 16777215
1455, 0
1456, 0
1457, 16777215
1458, 0
1459, 16777215
1460, 16777215
1461, 0
1462, 0
1463, 16777215
1464, 0
1465, 0
1466, 16777215
1467, 0
1468, 16777215
1469, 16777215
1470, 0
1471, 0
1472, 16777215
1473, 0
1474, 0
1475, 16777215
1476, 0
1477, 16777215
1478, 16777215
1479, 0
1480, 0
1481, 16777215
1482, 0
1483, 0
1484, 16777215
1485, 0
1486, 16777215
1487, 16777215
1488, 0
1489, 0
1490, 16777215
1491, 0
1492, 0
1493, 16777215
1494, 0
1495, 16777215
1496, 16777215
1497, 0
1498, 0
1499, 16777215
1500, 0
1501, 0
1502, 16777215
1503, 0
1504, 16777215
1505, 16777215
1506, 0
1507, 0
1508, 16777215
1509, 0
1510, 0
1511, 16777215
1512, 0
1513, 16777215
1514, 16777215
1515, 0
1516, 0
1517, 16777215
1518, 0
1519, 0
1520, 16777215
1521, 0
1522, 16777215
1523, 16777215
1524, 0
1525, 0
1526, 16777215
1527, 0
1528, 0
1529, 16777215
1530, 0
1531, 16777215
1532, 16777215
1533, 0
1534, 0
1535, 16777215
1536, 0
1537, 0
1538, 16777215
1539, 0
1540, 16777215
1541, 16777215
1542, 0
1543, 0
1544, 1552
1545, 1615
1546, 2317
1547, 2380
1548, 12073
1549, 12136
1550, 12829
1551, 12892
1552, 0
1553, 1561
1554, 1588
1555, 1957
1556, 1984
1557, 6817
1558, 6844
1559, 7177
1560, 7204
1561, 0
1562, 1570
1563, 1579
1564, 1813
1565, 1822
1566, 4225
1567, 4234
1568, 4369
1569, 4378
1570, 0
1571, 16777215
1572, 0
1573, 0
1574, 16777215
1575, 0
1576, 16777215
1577, 16777215
1578, 0
1579, 0
1580, 16777215
1581, 0
1582, 0
1583, 16777215
1584, 0
1585, 16777215
1586, 16777215
1587, 0
1588, 0
1589, 1597
1590, 1606
1591, 1831
1592, 1840
1593, 4243
1594, 4252
1595, 4387
1596, 4396
1597, 0
1598, 16777215
1599, 0
1600, 0
1601, 16777215
1602, 0
1603, 16777215
1604, 16777215
1605, 0
1606, 0
1607, 16777215
1608, 0
1609, 0
1610, 16777215
1611, 0
1612, 16777215
1613, 16777215
1614, 0
1615, 0
1616, 1624
1617, 1651
1618, 2011
1619, 2038
1620, 6871
1621, 6898
1622, 7231
1623, 7258
1624, 0
1625, 1633
1626, 1642
1627, 1849
1628, 1858
1629, 4261
1630, 4270
1631, 4405
1632, 4414
1633, 0
1634, 16777215
1635, 0
1636, 0
1637, 16777215
1638, 0
1639, 16777215
1640, 16777215
1641, 0
1642, 0
1643, 16777215
1644, 0
1645, 0
1646, 16777215
1647, 0
1648, 16777215
1649, 16777215
1650, 0
1651, 0
1652, 1660
1653, 1669
1654, 1867
1655, 1876
1656, 4279
1657, 4288
1658, 4423
1659, 4432
1660, 0
1661, 16777215
1662, 0
1663, 0
1664, 16777215
1665, 0
1666, 16777215
1667, 16777215
1668, 0
1669, 0
1670, 16777215
1671, 0
1672, 0
1673, 16777215
1674, 0
1675, 16777215
1676, 16777215
1677, 0
1678, 0
1679, 1687
1680, 1750
1681, 2443
1682, 2506
1683, 12199
1684, 12262
1685, 12955
1686, 13018
1687, 0
1688, 1696
1689, 1723
1690, 2065
1691, 2092
1692, 6925
1693, 6952
1694, 7285
1695, 7312
1696, 0
1697, 1705
1698, 1714
1699, 1885
1700, 1894
1701, 4297
1702, 4306
1703, 4441
1704, 4450
1705, 0
1706, 16777215
1707, 0
1708, 0
1709, 16777215
1710, 0
1711, 16777215
1712, 16777215
1713, 0
1714, 0
1715, 16777215
1716, 0
1717, 0
1718, 16777215
1719, 0
1720, 16777215
1721, 16777215
